System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes
Mayan Ajaw System,250,900,Mesoamerica,17.2,-89.6,Classical,5,Divine kings competing via calendar rituals and wars,Ritual Kingship,Maya religion,Male rulers,Cacao trade,Hereditary,Drought,Codices,0.85,0.45,0.2,0.15,0.0,0.2,0.5,0.3,low,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Pallava Guild Republics,275,900,India,12.5,80,Classical,3,Temple-city states ruled by artisan collectives,Corporate Oligarchy,Hinduism,Gender-mixed,Textiles/perfume,Election,Chola conquest,Mahabalipuram reliefs,0.5,0.45,0.55,0.4,0.45,0.45,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Pictish Matrilineal Kings,300,900,Scotland,57.5,-4.5,Early Medieval,3,Kingship inherited through female lines,Matrilineal Monarchy,Pictish animism,Gender-balanced,Cattle/stone,Hereditary,Gaelic assimilation,Adomnán,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Gupta Golden Age,320,550,India,25.6,85.1,Classical,5,Decentralized Hindu renaissance under nominal emperors,Cultural Hegemony,Hinduism,Male brahmins,Spice trade,Hereditary,Hun invasions,Kalidasa,0.3,0.3,0.45,0.6,0.45,0.7,0.5,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Ghana Empire Wagadu,400,1200,West Africa,15.7,-8,Medieval,4,Gold-trade federation with sacred silence traditions,Commercial Theocracy,African traditional,Male merchants,Gold/salt,Elective,Almoravid invasion,Ibn Battuta,0.65,0.5,0.35,0.25,0.25,0.3,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Marajoara Amazonian Queens,400,1300,Brazil,-1.4,-49.3,Classical,2,Floodplain ceramicists governing via female lineages,Gynocratic Hydraulics,Animism,Female rulers,Manioc/fish,Hereditary,Climate change,Archaeology,0.4,0.3,0.4,0.5,0.35,0.4,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Visigothic Code Judges,418,711,Spain,40.4,-3.7,Early Medieval,3,Germanic-Roman hybrid courts using Lex Visigothorum,Legal Syncretism,Arian Christianity,Male judges,Sheep farming,Appointment,Muslim conquest,Isidore of Seville,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Sogdian Merchant-Republics,500,750,Uzbekistan,39,66,Medieval,4,Caravanserai city-states with rotating magistrates,Commercial Democracy,Zoroastrianism,Male traders,Silk/glass,Rotation,Arab conquest,Xuanzang,0.2,0.4,0.65,0.65,0.8,0.8,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Frisian Tribal Thing,500,800,Netherlands/Germany,53.2,5.8,Early Medieval,3,Coastal Germanic assemblies with elected judges,Maritime Tribal Democracy,Germanic paganism,Gender-mixed,Fishing/salt,Consensus,Frankish conquest,Archaeology,0.2,0.4,0.65,0.65,0.9,0.75,0.2,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Sogdian Merchant Caravanserais,500,800,Uzbekistan,39.7,66.9,Medieval,4,Silk Road city-states governed by Zoroastrian guilds,Caravan Oligarchy,Zoroastrianism,Male traders,Silk/glass,Appointment,Arab conquest,Xuanzang,0.5,0.45,0.55,0.4,0.35,0.45,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Dalriada Gaelic Law Schools,500,900,Scotland,56.8,-5.4,Early Medieval,2,Bardic judges memorizing 300+ legal triads,Oral Jurisprudence,Celtic Christianity,Male jurists,Cattle herding,Appointment,Viking raids,Adomnán,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Sao Clay Wall Cities,500,1500,Chad,13,15,Medieval,3,Fortified city-states governed by clay sculptors,Ceramic Urbanism,Ancestor cult,Gender-balanced,Millet/fish,Appointment,Kanem conquest,Ibn Furtu,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Irish Brehon Law,500,1600,Ireland,53.5,-8,Medieval,4,Professional jurists (brehons) interpreting customary law,Legalistic Meritocracy,Celtic Christianity,Gender-mixed,Cattle/dairy,Appointment,English conquest,Book of Kells,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Calusa Shell Mound Kingdom,500,1700,USA,26.5,-81.9,Medieval,3,Estuary kings building monumental shell pyramids,Shell Heap Monarchy,Animism,Male fisher-kings,Shellfish,Hereditary,European diseases,Spanish logs,0.75,0.45,0.3,0.2,0.05,0.3,0.4,0.8,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Chumash Tomol Canoe Guilds,500,1800,California,34.5,-120,Medieval,3,Plank-canoe builders controlling coastal trade networks,Nautical Craft Oligarchy,Chumash religion,Gender-separate,Shell beads,Hereditary,Spanish missions,Archaeology,0.5,0.45,0.55,0.4,0.2,0.4,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Sámi Siida Councils,500,1800,Scandinavia,68,23,Medieval,4,Reindeer-herding units with seasonal decision sites,Pastoral Communalism,Sámi animism,Gender-balanced,Reindeer fur,Consensus,State borders,Oral history,0.15,0.2,0.35,0.75,0.9,0.8,0.4,0.15,high,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Göktürk Orkhon Script Khans,552,744,Mongolia,47.9,106.9,Medieval,4,Nomadic empire with runic law inscriptions; Steppe khans legislating via Orkhon stelae,Nomadic Constitutional Monarchy,Tengrism,Male warriors,Horse breeding,Elective,Uyghur revolt,Orkhon inscriptions,0.75,0.45,0.3,0.2,0.2,0.3,0.4,0.6,high,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Wari Tinku Labor System,600,1000,Peru,-13,-72,Medieval,4,Imperial labor rotation with ritual combat festivals,Labor Militarism,Andean polytheism,Gender-complementary,Potato/llama,Rotation,Drought,Archaeology,0.8,0.7,0.35,0.15,0.15,0.05,0.4,0.3,medium,ritual,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Tang Dynasty Keju,618,907,China,34.3,108.9,Medieval,5,First civil service exams open to commoners,Merit Bureaucracy,Confucianism,Male scholars,Tea/porcelain,Testing,Huang Chao rebellion,New Book of Tang,0.7,0.85,0.4,0.15,0.15,0.25,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Tang Fanzhen Clans,618,907,China,34.3,108.9,Medieval,4,Elite genealogies (zupu) controlling exam nominations,Aristocratic Bureaucracy,Confucianism,Male clans,Tea/porcelain,Hereditary,Huang Chao revolt,New Book of Tang,0.7,0.85,0.4,0.15,0.0,0.05,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Khazar Jewish Khaganate,650,965,Russia/Kazakhstan,47,50,Medieval,4,Dual Turkic-Jewish rule with religious tolerance,Elective Diarchy,Judaism/Tengrism,Male khagans,Fur/slaves,Rotation,Kievan conquest,Ibn Fadlan,0.4,0.35,0.6,0.5,0.6,0.65,0.4,0.3,low,coercion,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Srivijayan Maharaja Mandala,650,1377,Indonesia,-3,102.3,Medieval,3,Floating palace-kings controlling Malacca Strait,Naval Tributary Hegemony,Mahayana Buddhism,Male traders,Pepper/gold,Dynastic,Javanese invasion,Chinese chronicles,0.4,0.3,0.4,0.5,0.35,0.6,0.4,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Srivijayan Mandala,650,1377,Indonesia,-3,102,Medieval,4,"Floating palace diplomacy with tributary ""galactic polity""",Maritime Tributary Hegemony,Vajrayana Buddhism,Male sea-kings,Spice trade,Dynastic,Javanese invasion,Chinese annals,0.4,0.4,0.5,0.55,0.35,0.4,0.5,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Byzantine Theme System,680,1204,Turkey,41,28.9,Medieval,5,Farmer-soldier provinces with military governors,Military Agrarianism,Orthodox Christianity,Male strategoi,Wheat/silk,Appointment,Crusader sack,Anna Komnene,0.4,0.3,0.4,0.5,0.5,0.6,0.4,0.3,low,military,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Venetian Republic,697,1797,Italy,45.4,12.3,Medieval,5,Oligarchic merchant state with elaborate election lotteries,Aristocratic Republic,Catholicism,Male patricians,Spice trade,Sortition,Napoleon,Machiavelli,0.35,0.55,0.65,0.55,0.65,0.7,0.5,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Kanem Duguwa Nomad-Kings,700,1380,Chad,14.1,15.3,Medieval,3,Camel-borne dynasties ruling via Saharan trade networks,Mobile Pastoral Autocracy,African traditional,Male warrior-elite,Salt/slaves,Elective,Bulala invasion,Ibn Furtu,0.85,0.6,0.2,0.1,0.1,0.2,0.4,0.3,medium,coercion,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Anasazi Kiva Water Councils,750,1300,USA,36.1,-109.5,Medieval,4,Underground chambers managing desert irrigation,Hydraulic Democracy,Ancestral Puebloan,Gender-restricted,Corn/beans,Rotation,Drought,Archaeology,0.2,0.4,0.65,0.65,0.8,0.75,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Viking Law Speakers,800,1200,Scandinavia,61,10,Medieval,5,Itinerant judges memorizing tribal laws at Things,Oral Jurisprudence,Norse paganism,Male lawspeakers,Fish/iron,Appointment,Christianization,Sagas,0.3,0.15,0.45,0.7,0.7,0.75,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Welsh Cantrefi,800,1282,Wales,52.5,-3.5,Medieval,3,Clan-based micro-kingdoms with communal pasture rights,Pastoral Segmentary State,Christianity,Gender-mixed,Sheep/wool,Elective,English conquest,Mabinogion,0.15,0.2,0.35,0.75,0.8,0.85,0.4,0.3,medium,clan,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Orkney Jarl Sea-Kingdoms,800,1468,Scotland,59,-3,Medieval,3,Norse earls ruling via thing sites and runestones,Archipelago Elective Monarchy,Norse paganism,Male landowners,Fishing/whaling,Election,Scottish annexation,Orkneyinga Saga,0.75,0.45,0.3,0.2,0.3,0.3,0.2,0.3,low,none,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Chachapoya Cloud Forest Clans,800,1470,Peru,-6.7,-77.8,Medieval,3,Independent hilltop fortresses with mummy councils,Geronocratic Militarism,Ancestor cult,Gender-balanced,Quinoa/coca,Hereditary,Inca conquest,Archaeology,0.25,0.2,0.45,0.65,0.6,0.55,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Frisian Sea-Law Republics,800,1500,Netherlands,53.2,5.8,Medieval,3,Coastal communes governed by tidal customary law,Hydraulic Democracy,Christianity,Gender-neutral,Fishing/salt,Election,Habsburg rule,Lex Frisionum,0.2,0.4,0.65,0.65,0.9,0.75,0.2,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Frisian Moot Hall Democracy,800,1500,Netherlands,53.2,5.8,Medieval,3,Tidal-flat assemblies in terp mound meeting halls,Hydraulic Democracy,Germanic paganism,Gender-neutral,Fishing/salt,Consensus,Habsburg rule,Lex Frisionum,0.2,0.4,0.65,0.65,0.9,0.75,0.2,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Taino Cacique Matrilineage,800,1500,Cuba,21.5,-78,Medieval,3,Island chiefs inheriting through sister's sons,Avuncular Chiefdom,Zemíism,Gender-balanced,Cassava/yucca,Hereditary,Spanish conquest,Columbus logs,0.55,0.25,0.45,0.4,0.25,0.25,0.4,0.3,low,land,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Holy Roman Imperial Diarchy,800,1806,Central Europe,50.1,8.7,Medieval,5,Elective emperor + prince-bishop power-sharing,Decentralized Elective Empire,Catholicism,Male rulers,Manorialism,Elective,Napoleon,Voltaire,0.8,0.7,0.4,0.15,0.15,0.25,0.4,0.3,low,none,5,5,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Domari Blacksmith Networks,800,Present,Middle East,31,36,Medieval-Modern,3,Ironworking clans preserving secret languages,Guild Anarchy,Domari religion,Gender-separate,Metalwork,Hereditary,Assimilation,Ethnography,0.4,0.3,0.4,0.5,0.35,0.55,0.4,0.3,low,clan,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Khmer Devaraja,802,1431,Cambodia,13.4,103.8,Medieval,5,Hydraulic empire where kings embodied Hindu gods,Divine Kingship,Hindu-Buddhism,Male god-kings,Rice farming,Hereditary,Thai invasion,Zhou Daguan,0.85,0.6,0.3,0.1,0.1,0.1,0.8,0.5,none,land/ritual,5,4,abandonment/drought,FALSE,3,The hydraulic state: A is built around irrigation management. High L via rice surplus. Collapse linked to climate stress hitting the hydraulic infrastructure.
Ghana Empire,830,1235,West Africa,15.7,-8,Medieval,4,Silent barter gold trade under sacred kings,Ritual Monarchy,African traditional,Male rulers,Gold/salt,Hereditary,Almoravid invasion,Ibn Hawqal,0.75,0.45,0.3,0.2,0.05,0.1,0.4,0.15,low,ritual,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Pagan Temple-State,849,1297,Myanmar,21.2,94.9,Medieval,4,"Buddhist kings ruling via 10,000 brick temple networks",Architectural Theocracy,Theravada Buddhism,Male monks,Rice trade,Hereditary,Mongol invasion,Burmese chronicles,0.65,0.5,0.35,0.25,0.1,0.1,0.5,0.6,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Chola Naval Assemblies,850,1279,India,10.5,79.5,Medieval,5,Seafaring corporations with elected admiral-governors,Thalassocratic Meritocracy,Hinduism,Male merchants,Pepper/textiles,Election,Pandyan resurgence,Rajaraja inscriptions,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.6,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Toltec Warrior-Priest State,900,1150,Mexico,19.7,-98.8,Medieval,3,Militarized theocracy with Quetzalcoatl cult and ballgame courts,Stratocratic Theocracy,Mesoamerican religion,Male elites,Obsidian/feathers,Hereditary,Drought,Archaeology,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Toltec Warrior-Poet State,900,1150,Mexico,19.7,-98.8,Medieval,4,Military-artistic elite ruling via sacred ballcourts,Stratocratic Theocracy,Quetzalcoatl cult,Male warriors,Obsidian/feathers,Hereditary,Drought,Archaeology,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.3,low,military,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Pomeranian Veleti Tribal Republic,900,1200,Germany/Poland,54,16,Medieval,3,Baltic Slavic maritime clans with sacred oak councils,Amphibious Democracy,Slavic paganism,Gender-mixed,Amber/fish,Consensus,German crusades,Helmold,0.2,0.4,0.65,0.65,0.9,0.6,0.4,0.3,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Volga Bulgar Islamic Merchants,900,1236,Russia,55,49,Medieval,3,Imam-merchant councils governing fur trade routes,Commercial Theocracy,Islam,Male elites,Fur/honey,Appointment,Mongol invasion,Ibn Battuta,0.65,0.5,0.35,0.25,0.25,0.3,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Faroe Islands Løgting,900,Present,Faroe Islands,62,-7,Medieval-Modern,4,Unbroken Norse parliamentary tradition with gender quotas,Arctic Democracy,Lutheranism,Gender-balanced,Fishing,Rotation,None (ongoing),Løgting records,0.2,0.4,0.65,0.65,0.8,0.8,0.2,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Icelandic Commonwealth,930,1262,Iceland,64,-19,Medieval,5,Farmer-lawyers resolving disputes through saga precedents,Literary Anarchy,Norse Christianity,Gender-mixed,Fish/wool,Consensus,Norwegian takeover,Njáls saga,0.4,0.3,0.4,0.5,0.6,0.6,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Icelandic Althing,930,1799,Iceland,64.1,-21.9,Medieval,5,World's oldest parliamentary body with outdoor deliberations,Arctic Democracy,Norse paganism,Male landowners,Fishing,Elective,Danish rule,Njáls saga,0.2,0.4,0.65,0.65,0.8,0.8,0.2,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Althingi Carbon-Neutral Parliament,930,Present,Iceland,64.1,-21.9,Medieval-Modern,5,World's oldest parliament now fully geothermal-powered,Sustainable Democracy,Secularism,Gender-neutral,Geothermal energy,Elections,None (ongoing),Katrín Jakobsdóttir,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.95,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Nri Kingdom Pacifist Theocracy,948,1911,Nigeria,6.2,7,Medieval,3,Priest-kings enforcing peace via ritual purity (iko),Pacifist Theocracy,Igbó úkwú,Male priests,Yam farming,Appointment,British invasion,Nri artifacts,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.6,low,ritual,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Tongan Maritime Tui Empire,950,1865,Tonga,-21.1,-175.2,Medieval,4,Sacred kings (Tui Tonga) ruling via canoe-borne nobles,Thalassocratic Theocracy,Polynesian religion,Male chiefs (female advisors),Yams/tribute,Hereditary,Christianization,Captain Cook,0.65,0.5,0.35,0.25,0.1,0.3,0.4,0.15,low,tribute,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Manx Tynwald,979,Present,Isle of Man,54.2,-4.5,Medieval,5,Continuous parliamentary assembly with outdoor moot hill,Archaic Democracy,Norse Christianity,Male landowners,Herring fishing,Elective,None (ongoing),Tynwald records,0.2,0.4,0.65,0.65,0.8,0.8,0.2,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Jomsviking Warrior Commune,980,1043,Denmark/Poland,55,16,Medieval,3,Elite mercenary harbor with strict celibacy code,Martial Monasticism,Norse paganism,Male warriors,Plunder/Iron,Appointment,Norwegian invasion,Sagas,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Greenland Norse Althing,985,1450,Greenland,61,-45,Medieval,3,Arctic farming communes with ice-bound parliaments,Cryo-Democracy,Norse Christianity,Gender-mixed,Dairy/whale,Rotation,Climate cooling,Archaeology,0.2,0.4,0.65,0.65,0.8,0.6,0.4,0.3,low,none,3,3,climate,False,1,Auto-coded from governance type/characteristics — requires human review
Gotlandic Sea-Farmer Althing,1000,1400,Sweden,57,18,Medieval,4,Farmer-pirates balancing trade and agriculture,Agrarian Thalassocracy,Norse paganism,Gender-mixed,Grain/silver,Consensus,Danish rule,Gutasaga,0.4,0.3,0.4,0.5,0.6,0.6,0.7,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Ruthenian Viche,1000,1500,Ukraine/Belarus,50.5,30.5,Medieval,3,Slavic tribal assemblies with bell-summoned meetings,Tribal Democracy,Slavic paganism,Male warriors,Forest products,Consensus,Lithuanian conquest,Nestor Chronicle,0.2,0.4,0.65,0.65,0.9,0.6,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Swahili Waungwana Councils,1000,1500,Kenya,-4.1,39.7,Medieval,4,Merchant aristocrats governing stone cities via Shirazi lineage myths,Urban Oligarchy,Islam,Male elite,Ivory/glass,Hereditary,Portuguese invasion,Ibn Battuta,0.5,0.45,0.55,0.4,0.2,0.45,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Nan Madol Coral Kingdoms,1000,1500,Micronesia,6.8,158.3,Medieval,4,Artificial island city ruled by priest-engineers,Coral Theocracy,Saudeleur cult,Male priests,Breadfruit/reef fish,Hereditary,Invasion,Oral history,0.65,0.5,0.35,0.25,0.1,0.1,0.4,0.15,low,land,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Timucua Waterborne Councils,1000,1565,USA,30,-82,Medieval,2,Stilt-house villages with aquatic resource management,Lacustrine Democracy,Animism,Gender-mixed,Fish/maize,Consensus,Spanish conquest,Spanish logs,0.2,0.4,0.65,0.65,0.9,0.6,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Finnish Kalevala Singing Governors,1000,1600,Finland,63,27,Medieval,2,Shaman-chiefs ruling through epic poem recitations,Poetic Theocracy,Finnish paganism,Male singers,Fur/fish,Charismatic,Swedish conquest,Kalevala,0.65,0.5,0.35,0.25,0.25,0.1,0.4,0.15,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Sami Noaide Shamanic Bands,1000,1800,Scandinavia,68.3,19.5,Medieval,3,Reindeer-herding clans guided by trance-mediums,Animist Gerontocracy,Sami religion,Gender-balanced,Reindeer herding,Charismatic,Christianization,Oral tradition,0.4,0.3,0.4,0.5,0.5,0.55,0.4,0.15,low,clan,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Tahitian Arioi Cult Society,1000,1800,French Polynesia,-17.7,-149.4,Medieval,3,Elite artist-priests enforcing taboo systems,Ritual Performance Oligarchy,Polynesian religion,Gender-fluid,Breadfruit,Initiation,Christianity,Captain Bligh,0.5,0.45,0.55,0.4,0.35,0.25,0.4,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Siberian Yukaghir Moon Calendar,1000,1800,Russia,68,154,Medieval,2,Lunar-cycle hunting bans enforced by tooth-mark tallies,Selenocratic Anarchy,Animism,Gender-neutral,Elk/fish,Charismatic,Russian conquest,Archaeology,0.4,0.3,0.4,0.5,0.5,0.55,0.4,0.35,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Hawaiian Kapu System,1000,1819,Hawaii,19.9,-155.5,Early Modern,3,Taboo-based hierarchy with sacred king (aliʻi nui),Sacred Autocracy,Hawaiian religion,Gender-segregated,Taro farming,Hereditary,Missionary overthrow,Captain Cook,0.85,0.6,0.2,0.1,0.0,0.0,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Hawaiian Ahupuaʻa System,1000,1819,Hawaii,19.9,-155.5,Medieval,4,Mountain-to-sea resource zones managed by konohiki,Vertical Resource Communism,Polynesian religion,Gender-separated,Taro farming,Hereditary,Christian overthrow,Captain Cook,0.4,0.3,0.4,0.5,0.35,0.55,0.4,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Fijian Bati Warrior Guilds,1000,1874,Fiji,-18.1,178.4,Medieval,3,Tattooed mercenaries enforcing chiefly taboos,Military Brotherhood,Animism,Male warriors,Yams/whales,Initiation,British annexation,Ethnography,0.4,0.3,0.4,0.5,0.5,0.4,0.4,0.3,low,military,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Saho-Irob Mountain Democracies,1000,1885,Eritrea,15.2,39.5,Medieval,2,Highland clans with honey-based conflict resolution,Pastoral Democracy,Cushitic religion,Gender-balanced,Apiculture,Consensus,Ethiopian annexation,Italian records,0.2,0.4,0.65,0.65,0.9,0.75,0.4,0.3,medium,land,3,3,annexation,False,1,Auto-coded from governance type/characteristics — requires human review
Yoruba Ogboni Earth Justice,1000,1893,Nigeria,7.5,4.5,Medieval,4,Secret society balancing kings via sacred edan staffs,Geomantic Democracy,Ifá divination,Gender-restricted,Kola nuts,Consensus,British conquest,Ife bronzes,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Igbo Umunna Councils,1000,1900,Nigeria,5.5,7,Early Modern,3,Lineage-based democracy with masked arbitration,Segmentary Democracy,Odinani,Male elders,Yam/palm oil,Consensus,British conquest,Oral history,0.2,0.4,0.65,0.65,0.9,0.8,0.75,0.15,low,none,3,3,conquest,False,1,Auto-coded from governance type/characteristics — requires human review
Yupik Bladder Festival Rule,1000,1900,Alaska,61.2,-163,Medieval,3,Annual seal-bladder ceremonies regulating hunting quotas,Ritual Ecology,Animism,Gender-mixed,Whale/seal,Charismatic,Russian colonization,Ethnography,0.4,0.3,0.4,0.5,0.5,0.55,0.4,0.3,low,ritual,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Marshallese Stick Chart Navigators,1000,1914,Marshall Islands,7.1,171.4,Medieval,3,Wave-pattern experts ruling via palm-rib hydrography,Nautical Gerontocracy,Animism,Male navigators,Coconut trade,Apprenticeship,German colonization,Ethnography,0.4,0.3,0.4,0.5,0.5,0.55,0.5,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Samoan Matai Talking Chiefs,1000,Present,Samoa,-13.8,-171.8,Medieval,4,Orator-chiefs (tulafale) directing village councils,Oratorial Democracy,Polynesian religion,Gender-mixed,Breadfruit,Consensus,None (ongoing),Margaret Mead,0.2,0.4,0.65,0.65,0.9,0.8,0.4,0.3,low,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Nenets Yamal Clan Councils,1000,Present,Russia,67.5,77.9,Medieval,3,Tundra nomads voting via reindeer-antler tallies,Antler Democracy,Shamanism,Male herders,Reindeer fur,Consensus,Russian annexation,Ethnography,0.2,0.4,0.65,0.65,0.9,0.75,0.4,0.3,high,none,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Xingu Tribal Aquatic Law,1000,Present,Brazil,-12.4,-53.2,Medieval,3,Riverine tribes enforcing piranha-fishing taboos,Fluvial Anarchy,Animism,Gender-neutral,Fish/cassava,Consensus,None (ongoing),Ethnography,0.4,0.3,0.4,0.5,0.6,0.55,0.4,0.3,low,clan,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Faroese Sheep Court,1000,Present,Faroe Islands,62,-7,Medieval,3,Highland assemblies dividing grazing lands,Pastoral Democracy,Christianity,Gender-neutral,Sheep/wool,Rotation,None (ongoing),Føroya søga,0.2,0.4,0.65,0.65,0.8,0.8,0.4,0.3,medium,land,3,3,ongoing,False,1,Auto-coded from governance type/characteristics — requires human review
Seljuk Iqta System,1037,1194,Persia,32.4,53.2,Medieval,4,Military land grants conditional on cavalry service,Conditional Feudalism,Sunni Islam,Male ghazis,Wheat/silk,Appointment,Mongols,Nizam al-Mulk,0.65,0.45,0.4,0.25,0.25,0.15,0.4,0.3,low,land,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
Almoravid Lamtuna Councils,1040,1147,Morocco,31.8,-7.1,Medieval,3,Saharan Berber warrior-scholars ruling via desert codes,Theocratic Stratocracy,Maliki Islam,Male imams,Trans-Saharan trade,Consensus,Almohad revolt,Ibn Khaldun,0.65,0.5,0.35,0.25,0.35,0.1,0.5,0.3,low,none,3,3,unknown,False,1,Auto-coded from governance type/characteristics — requires human review
