System,Start,End,Region,Latitude,Longitude,Historical Epoch,Evidence Strength,Characteristics,Governance Type,Belief System,Gender Roles,Economic Base,Succession Method,Collapse Cause,Recorded By,sovereignty_index,admin_index,competitive_politics_index,exit_freedom,disobedience_freedom,arrangement_freedom,surplus_legibility,info_infrastructure,seasonality,binding_mechanism,scale_population,scale_territory,collapse_mode,gw_discussed,coding_confidence,notes,succ_canon,L,D0,EDR,SAP,L_D0
Paris Commune,1871,1871,France,48.9,2.3,Modern,5.0,Revolutionary socialist direct democracy (72-day experiment,Proletarian Dictatorship,Secularism,Gender-mixed,Manufacturing,Election,German invasion,Karl Marx,0.15,0.3,0.75,0.75,0.85,0.9,0.45,0.35,none,none,3,1,conquest,False,2,"72-day experiment: very high R (deliberate institutional invention), high D (recall of delegates), high P (revolutionary competitive politics). S near zero — no monopoly on violence. Auto-code had SAP wrong (defaulted to democracy profile). EDR should be very high.",elective,0.45,0.85,0.8333333333333334,0.39999999999999997,0.3825
Kibbutz Movement,1909,Present,Israel,32.5,35,Modern,5.0,Voluntary socialist communes with rotating leadership,Utopian Communalism,Judaism/Communism,Gender-equal,Agriculture,Rotation,None (ongoing),Ben-Gurion,0.1,0.3,0.5,0.85,0.85,0.85,0.45,0.35,none,community,1,1,ongoing,False,2,"Voluntary communalism: maximum E (you can leave), high D (assembly decisions), high R (each kibbutz experiments with its own structure). S near zero. Auto-code had high SAP which is wrong — kibbutz is explicitly non-hierarchical.",rotation,0.45,0.85,0.85,0.3,0.3825
Soviet Republics System,1922,1991,Eurasia,55.8,37.6,Modern,5.0,Ethno-territorial autonomies under centralized party rule,Federal Socialist Autocracy,State Atheism,Male-dominated,Heavy industry,Appointment,Collapse,Lenin,0.9,0.9,0.55,0.05,0.05,0.08,0.85,0.85,none,land/coercion,5,5,dissolution,False,2,"Near-maximum SAP: party sovereignty, Gosplan administration, P suppressed except within party. D effectively zero (dissent = gulag). E: internal passports system prevents movement. Auto-code massively underestimated SAP and overestimated EDR. R marginally revised upward from 0.05 to 0.08 after reliability exercise: samizdat culture and unofficial intellectual life existed but were systematically persecuted. Kept near-zero. E and D held at original conservative values. P revised to 0.55 after reliability exercise.",appointment,0.85,0.05,0.06,0.7833333333333333,0.0425
Singaporean Technocracy,1965,Present,Singapore,1.3,103.8,Modern,5.0,Meritocratic one-party state with predictive governance,Computational Autocracy,Secular pragmatism,Gender-neutral,Global trade,Co-optation,None (ongoing),Lee Kuan Yew,0.75,0.85,0.3,0.65,0.2,0.2,0.8,0.9,none,law,3,1,ongoing,False,2,"High A (data governance, housing allocation, CPF). S high (PAP dominance). D very low (no meaningful opposition). E: interesting case — physical exit is easy (open economy) but political exit unavailable. L and I very high.",appointment,0.8,0.2,0.35000000000000003,0.6333333333333334,0.16000000000000003
Norwegian Sovereign Wealth Democracy,1990,Present,Norway,60.5,8.7,Modern,5.0,Oil-funded welfare state with transparency mechanisms,Petro-Social Democracy,Secularism,Gender-neutral,Oil/Gas,Elections,None (ongoing),Gro Harlem,0.15,0.75,0.65,0.9,0.9,0.8,0.75,0.9,none,none,3,2,ongoing,False,2,"High EDR: exit very easy, strong judicial/press D, constitutional R well-established. A high (welfare state). S very low. The oil fund is an L mechanism that paradoxically funds EDR rather than suppressing it — important counter-case to L→lock-in sequence.",elective,0.75,0.9,0.8666666666666667,0.5166666666666667,0.675
European Union Governance,1993,Present,Europe,50.8,4.5,Modern,5.0,Supranational technocracy with subsidiarity principle,Multilevel Governance,Secularism,Gender-mixed,Single market,Appointment,None (ongoing),Jean Monnet,0.3,0.9,0.55,0.7,0.55,0.55,0.7,0.85,none,law,5,4,ongoing,False,2,"High A (regulations, directives, ECJ). S low (member states retain sovereignty). D: member state veto in Council. E: Article 50 (Brexit) confirms exit is possible. R: treaty revision is possible but hard. Auto-code underestimated A and overestimated S.",appointment,0.7,0.55,0.6,0.5833333333333334,0.385
Estonian Digital Democracy,2002,Present,Estonia,58.7,25,Information Age,5.0,E-governance with blockchain-secured citizen participation,E-Government,Secularism,Gender-neutral,IT services,Elections,None (ongoing),Toomas Hendrik,0.15,0.95,0.45,0.85,0.85,0.75,0.55,0.95,none,none,2,1,ongoing,False,2,"Maximum I (X-Road digital infrastructure, e-residency, blockchain records). S very low. D high (digital participation tools, strong press freedom). E very high (e-residency enables exit from physical jurisdiction). Auto-code had A too low and SAP wrong.",elective,0.55,0.85,0.8166666666666668,0.5166666666666666,0.4675
Iroquois Confederacy / Haudenosaunee,1450,1900,Northeast North America,43.1,-77.6,Medieval,5.0,Five (later six) nations; Great Law of Peace (Gayanashagowa); clan mothers select and can deselect chiefs; consensus decision-making; condolence ritual for leadership transition,Matrilineal Consensus Confederacy,Haudenosaunee spirituality,Female clan heads,Maize/beans,Consensus,Colonial pressures,Deganawidah Epic,0.25,0.2,0.5,0.7,0.85,0.75,0.35,0.15,medium,clan,4,4,colonial disruption,True,3,"G&W's key large-scale egalitarian case for the Americas. Directly influenced Enlightenment political thought (Lahontan, Rousseau). Clan mothers' veto is institutionalised D. Merged with duplicate entry ""Haudenosaunee (Iroquois) Great Law of Peace"".",consensus,0.35,0.85,0.7666666666666666,0.31666666666666665,0.2975
Inca Empire (Tawantinsuyu),1438,1533,Andean South America,-13.5,-71.9,Medieval,5.0,Vast bureaucratic empire without writing; quipu knotted-cord accounting; mit'a labour tax; road network; no money; state redistribution of all surplus,Administrative Empire Without Writing,Inca religion,Dual-gender,Potato/maize,Hereditary,Spanish conquest,Garcilaso de la Vega,0.75,0.8,0.2,0.1,0.1,0.1,0.9,0.6,none,labour/land,5,5,conquest,False,3,"High-A without writing — the quipu system is the most sophisticated non-literate administrative apparatus known. Demonstrates L and I can be high without literacy. Merged with duplicate entry ""Inca Tawantinsuyu"".",hereditary,0.9,0.1,0.10000000000000002,0.5833333333333334,0.09000000000000001
Swiss Cantonal Democracy,1291,2025,Switzerland,46.8,8.2,Early Modern,5.0,Direct democracy through referenda; cantonal autonomy; militia army; Landsgemeinde open-air assembly; strong subsidiarity,Direct Democracy,Reformed Christianity,Male citizens,Cheese/clockmaking,Rotation,French invasion,William Tell,0.2,0.5,0.5,0.75,0.85,0.75,0.6,0.65,low,law/community,3,2,ongoing,False,3,"Merged with duplicate entry ""Swiss Cantonal Militias"".",rotation,0.6,0.85,0.7833333333333333,0.39999999999999997,0.51
Tongan Maritime Empire,950,1865,Polynesia,-21.1,-175.2,Medieval,4.0,Monarch-led hierarchical tribute system spanning Pacific islands; sacred Tu'i Tonga as divine sovereign; mana as legitimacy; tribute redistribution,Island Empire,Polynesian deification,Male chiefs (female advisors),Yams/tribute,Hereditary,Christianization,Captain Cook,0.75,0.25,0.45,0.4,0.3,0.25,0.55,0.1,low,tribute/ritual,3,4,colonial absorption,False,2,"Merged with duplicate entry ""Tongan Maritime Tui Empire"".",hereditary,0.55,0.3,0.31666666666666665,0.48333333333333334,0.165
Inuit Qaggiq Assemblies,-1000,1900,Arctic,70,-100,Medieval,4.0,Temporary governance for dispute resolution and ceremony; song duels for conflict resolution; no permanent chiefs; seasonal aggregation,Seasonal Council,Inuit animism,Egalitarian,Seal hunting,Consensus,None (ongoing),Ethnography,0.1,0.05,0.35,0.9,0.9,0.85,0.1,0.05,high,none,1,3,colonial disruption,False,3,"Song duels as institutionalised D — disputes resolved through competitive performance rather than coercion. Extreme E due to nomadic lifestyle. Merged with duplicate entry ""Inuit Qaggiq Ice-Block Parliaments"".",consensus,0.1,0.9,0.8833333333333333,0.16666666666666666,0.09000000000000001
Tokugawa Shogunate,1603,1868,Japan,35.7,139.7,Early Modern,5.0,"Feudal military government under Shogun; sankin-kōtai hostage system (daimyo alternate residences, leaving family as guarantors); strict class hierarchy (shi-nō-kō-shō); sakoku isolation policy; Confucian legitimation; rice-tax economic base",Feudal Stratocracy,Shinto/Confucian,Male shōguns,Rice taxation,Hereditary,Meiji Restoration,Tokugawa records,0.8,0.8,0.45,0.05,0.15,0.15,0.75,0.7,none,land/hostage/status,4,3,transition,False,3,"Merged from three upstream entries (Tokugawa Shogunate, Tokugawa Bakufu, Tokugawa Sankin-Kotai). S=0.80: effective coercive monopoly but layered through daimyo, samurai, village headmen rather than direct. A=0.75: cadastral surveys, temple registration, village registers, status categories, rice-tax assessment, road checkpoints, domain bureaucracy. P=0.45 (revised from 0.25): daimyo rank, court titles, alternate attendance processions, castle towns, gift exchange, samurai honour culture, ritualised hierarchy constitute substantial prestige politics. E=0.05: peasants/artisans/merchants/samurai embedded in hereditary status, village/domain obligations, travel restrictions, household registration. D=0.15 (revised from 0.05): peasant petitions, village negotiation, urban protest, domain politics existed within limits — not zero. R=0.15 (revised from 0.05): commercialisation, proto-industrial villages, merchant networks, intellectual schools created some room — constrained but not zero. Binding=land/hostage/status: sankin-kōtai and Edo family residence defining for elite; status law defining for commoners. Collapse=transition (revised from forced opening/reform): overthrown and transformed into Meiji imperial state; Perry arrival was trigger not cause.",hereditary,0.75,0.15,0.11666666666666665,0.6833333333333335,0.11249999999999999
Ashanti Confederacy,1670,1900,West Africa,6.7,-1.6,Early Modern,5.0,Federated system under the Asantehene with regional chiefs; Golden Stool as sacred sovereignty; asafo military companies; slave trade integration,Federated Kingdom,Ashanti spiritual,Male kings (female advisors),Gold/cocoa,Elective,British colonization,British treaties,0.65,0.4,0.45,0.3,0.35,0.3,0.6,0.3,none,tribute/military,4,3,colonial conquest,False,2,"Merged with duplicate entry ""Ashanti Golden Stool Confederacy"".",elective,0.6,0.35,0.31666666666666665,0.5,0.21
