System,Region,Historical Epoch,Start,sovereignty_index,admin_index,disobedience_freedom,surplus_legibility,Latitude,abs_lat,seasonality,seas_ord,Economic Base,binding_mechanism,bind,Collapse Cause,ctype,Gender Roles,g_egal,norm_frac,coding_confidence
Jomsviking Warrior Commune,Denmark/Poland,Medieval,980,0.400,0.300,0.500,0.400,55.000,55.000,low,1.000,Plunder/Iron,none,none/voluntary,Norwegian invasion,conquest,Male warriors,0,1.000,1
Joseon Confucian Bureaucracy,Korea,Early Modern,1392,0.750,0.850,0.150,0.800,37.500,37.500,none,0.000,Rice/silk,land/exam,material,Japanese annexation,conquest,Male yangban,0,1.000,2
Jukun Aku Oracle Kings,Nigeria,Early Modern,1400,0.650,0.500,0.100,0.200,8.900,8.900,low,1.000,Yam/fishing,none,none/voluntary,British conquest,conquest,Male priests,0,0.600,1
Kalderash Gold-Smithing Dynasties,Balkans,Early Modern,1500,0.400,0.300,0.500,0.400,44.000,44.000,low,1.000,Goldsmithing,clan,social,None (ongoing),ongoing,Gender-separate,0,1.000,1
Kalmyk Khanate Nomadic Parliament,Russia,Early Modern,1630,0.200,0.200,0.800,0.400,47.000,47.000,high,3.000,Horse herds,none,none/voluntary,Russian annexation,conquest,Male lamas,0,3.000,1
Kanem Duguwa Nomad-Kings,Chad,Medieval,700,0.850,0.600,0.100,0.400,14.100,14.100,medium,2.000,Salt/slaves,coercion,coercive,Bulala invasion,conquest,Male warrior-elite,0,0.500,1
Kanem-Bornu Sufi Knights,Chad,Medieval,1100,0.800,0.400,0.150,0.400,13.100,13.100,low,1.000,Salt/slaves,coercion,coercive,Fulani jihad,other,Male scholars,0,1.500,1
Kerala People’s Planning,India,Modern,1996,0.600,0.650,0.400,0.400,8.500,8.500,low,1.000,Spice/remittances,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,0.462,1
Ket Yenisei Fish-Taboo Councils,Russia,Early Modern,1600,0.400,0.300,0.600,0.200,63.000,63.000,low,1.000,Sturgeon fishing,clan,social,Sovietization,other,Gender-mixed,1,1.000,1
Khazar Jewish Khaganate,Russia/Kazakhstan,Medieval,650,0.400,0.350,0.600,0.400,47.000,47.000,low,1.000,Fur/slaves,coercion,coercive,Kievan conquest,conquest,Male khagans,0,0.857,1
Khmer Devaraja,Cambodia,Medieval,802,0.850,0.600,0.100,0.800,13.400,13.400,none,0.000,Rice farming,land/ritual,material,Thai invasion,conquest,Male god-kings,0,0.833,3
Khmer Water Mandala,Cambodia,Medieval,1113,0.800,0.650,0.100,0.800,13.400,13.400,none,0.000,Rice farming,land/ritual,material,Cham invasion,conquest,Male engineers,0,0.846,2
Khotanese Buddhist Monarchy,China,Medieval,200,0.400,0.300,0.350,0.500,37.100,37.100,low,1.000,Jade trade,none,none/voluntary,Kara-Khanid invasion,conquest,Male monks,0,2.000,1
Kibbutz Movement,Israel,Modern,1909,0.100,0.300,0.850,0.450,32.500,32.500,none,0.000,Agriculture,community,social,None (ongoing),ongoing,Gender-equal,1,1.167,2
Kingdom of Kush,Sudan,Iron Age,-780,0.750,0.450,0.200,0.600,19.600,19.600,low,1.000,Gold mining,none,none/voluntary,Assyrian invasion,conquest,Female co-rulers,0,1.333,1
Kiribati Maneaba Councils,Kiribati,Early Modern,1400,0.150,0.200,0.800,0.200,1.400,1.400,low,1.000,Fishing/coconut,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,0.750,1
Konbaung Hluttaw,Myanmar,Early Modern,1752,0.700,0.850,0.150,0.400,21.000,21.000,low,1.000,Rice/teak,coercion,coercive,British conquest,conquest,Male officials,0,0.353,1
Kongo Mbanza Council,Angola,Early Modern,1390,0.400,0.300,0.500,0.400,-8.800,8.800,low,1.000,Copper/ivory,none,none/voluntary,Portuguese interference,other,Male electors (female spies),0,1.000,1
Koryak Reindeer-Oracle System,Russia,Early Modern,1600,0.650,0.500,0.250,0.400,59.200,59.200,low,1.000,Reindeer blood,none,none/voluntary,Russian conquest,conquest,Gender-fluid,0,0.600,1
Kuba Bushong Cloth Kings,DRC,Early Modern,1600,0.750,0.450,0.050,0.400,-5.000,5.000,low,1.000,Raffia cloth,none,none/voluntary,Belgian conquest,conquest,Male kings (female weavers),0,0.667,1
Kurultai,Mongolia,,1206,0.600,0.200,0.600,0.300,,,medium,2.000,,military,coercive,,other,,0,0.500,2
Kushan Devaputra,Afghanistan,Classical,30,0.750,0.450,0.050,0.500,36.000,36.000,low,1.000,Silk Road trade,none,none/voluntary,Kidarite invasion,conquest,Male elites,0,1.333,1
Kven Arctic Trader Networks,Norway/Finland,Medieval,1200,0.400,0.300,0.500,0.400,70.000,70.000,medium,2.000,Fur/fish,none,none/voluntary,State borders,other,Gender-mixed,1,0.500,1
La Tène Tribal Federations,Switzerland,Iron Age,-450,0.350,0.200,0.650,0.400,47.000,47.000,low,1.000,Amber/wool,clan,social,Roman conquest,conquest,Gender-mixed,1,1.500,1
Lan Xang Million Elephant Kings,Laos,Medieval,1353,0.650,0.450,0.100,0.400,17.900,17.900,low,1.000,Teak/opium,land,material,Siamese invasion,conquest,Male warriors,0,1.778,1
Lapita Voyaging Networks,Pacific,Iron Age,-1500,0.200,0.400,0.800,0.400,-16.000,16.000,low,1.000,Taro/obsidian,clan,social,Isolation,other,Gender-mixed,1,0.750,1
Late Uruk / Early Dynastic,Mesopotamia,,-3100,0.750,0.700,0.300,0.850,,,none,0.000,,debt/land/coercion,material,,other,,0,1.071,3
Leveller Agitators,England,Early Modern,1647,0.200,0.400,0.900,0.400,51.500,51.500,low,1.000,War taxes,tribute,material,Cromwell suppression,other,Gender-mixed,1,0.750,1
Libyan Jamahiriya,Libya,Modern,1977,0.400,0.300,0.600,0.750,32.900,32.900,low,1.000,Oil wealth,none,none/voluntary,NATO intervention,other,Male-dominated,0,1.000,1
Liechtenstein Direct Democracy,Liechtenstein,Modern,1862,0.400,0.600,0.750,0.550,47.200,47.200,none,0.000,Finance/Tourism,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.250,2
Liechtenstein Direct Monarchy,Liechtenstein,Modern,1719,0.200,0.400,0.800,0.400,47.200,47.200,low,1.000,Banking,none,none/voluntary,None (ongoing),ongoing,Male prince,0,0.750,1
Lithuanian Pagan Kings,Lithuania/Ukraine,Medieval,1250,0.750,0.450,0.050,0.400,55.000,55.000,low,1.000,Amber/bees,none,none/voluntary,Polish union,other,Male rulers,0,0.667,1
Lozi Litunga Flood Kings,Zambia,Early Modern,1600,0.750,0.450,0.050,0.400,-15.200,15.200,high,3.000,Fish/sorghum,none,none/voluntary,,other,Male kings with female advisors,0,0.333,1
Luba Bambudye Memory State,DRC,Early Modern,1585,0.500,0.450,0.350,0.400,-6.100,6.100,low,1.000,Copper/ivory,none,none/voluntary,Belgian colonialism,other,Male initiates,0,0.333,1
Lunda Ruwej Matrilineacy,DRC,Early Modern,1600,0.800,0.200,0.150,0.400,-8.300,8.300,low,1.000,Ivory/beeswax,none,none/voluntary,Belgian conquest,conquest,Female monarchs,0,0.750,1
Lydian Electrum Oligarchy,Turkey,Iron Age,-650,0.400,0.550,0.500,0.400,38.000,38.000,low,1.000,Silver/gold,none,none/voluntary,Persian conquest,conquest,Male elites,0,0.545,1
Magna Carta Baronage,England,Medieval,1215,0.500,0.400,0.550,0.600,51.800,51.800,none,0.000,Wool trade,land,material,Centralization,other,Male barons,0,1.250,2
Majapahit Mandala,Indonesia,,1293,0.550,0.400,0.500,0.600,,,low,1.000,,tribute,material,,other,,0,0.875,2
Majapahit Terracotta Bureaucracy,Indonesia,Medieval,1293,0.400,0.300,0.500,0.400,-7.500,7.500,low,1.000,Rice/indigo,none,none/voluntary,Islamic sultanates,other,Male administrators,0,2.000,1
Malacca Straits Mandala,Malaysia,Medieval,1400,0.200,0.200,0.700,0.500,2.200,2.200,low,1.000,Spice trade,tribute,material,Portuguese invasion,conquest,Male merchants,0,4.000,1
Malagasy Fokonolona,Madagascar,Early Modern,1700,0.150,0.200,0.900,0.400,-18.900,18.900,low,1.000,Rice farming,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,1.500,1
Maldivian Furya Coral Councils,Maldives,Medieval,1100,0.200,0.400,0.900,0.500,3.200,3.200,low,1.000,Sea cucumber trade,none,none/voluntary,British protectorate,conquest,Gender-mixed,1,0.375,1
Mali Mansa Rule,Mali,Medieval,1235,0.750,0.450,0.050,0.400,12.600,12.600,low,1.000,Gold/salt,none,none/voluntary,Civil war,conquest,Male rulers,0,0.667,1
Maluku Sasi Harvest Bans,Indonesia,Medieval,1200,0.400,0.300,0.600,0.500,-3.700,3.700,high,3.000,Spice trade,ritual,ritual,Dutch colonialism,conquest,Gender-balanced,1,1.167,1
Manush Circus Kingdoms,France,Modern,1850,0.850,0.600,0.000,0.400,47.000,47.000,low,1.000,Entertainment,none,none/voluntary,None (ongoing),ongoing,Gender-stratified,0,0.500,1
Manx Tynwald,Isle of Man,Medieval,979,0.250,0.550,0.750,0.450,54.200,54.200,medium,2.000,Herring fishing,none,none/voluntary,None (ongoing),ongoing,Male landowners,0,1.182,2
Maohi Tapu System,French Polynesia,Modern,1840,0.650,0.500,0.350,0.400,-17.500,17.500,low,1.000,Vanilla/fish,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,0.300,1
Mapuche Parlamento Confederacy,Chile,Early Modern,1550,0.300,0.150,0.800,0.400,-38.700,38.700,low,1.000,Horse/maize,none,none/voluntary,Chilean conquest,conquest,Gender-balanced,1,2.000,1
Marajoara Amazonian Queens,Brazil,Classical,400,0.400,0.300,0.350,0.400,-1.400,1.400,low,1.000,Manioc/fish,none,none/voluntary,Climate change,environmental,Female rulers,0,1.000,1
Maroon Communities (Jamaica/Suriname),Caribbean,,1655,0.300,0.150,0.800,0.300,,,medium,2.000,,community,social,,other,,0,0.667,2
Maroon Palenque Republics,Colombia,Early Modern,1600,0.800,0.200,0.250,0.400,10.000,10.000,low,1.000,Cassava/arms,military,coercive,State repression,other,Gender-mixed,1,0.750,1
Marshallese Stick Chart Navigators,Marshall Islands,Medieval,1000,0.400,0.300,0.500,0.500,7.100,7.100,low,1.000,Coconut trade,none,none/voluntary,German colonization,other,Male navigators,0,1.000,1
Mauryan Arthashastra State,India,Iron Age,-322,0.700,0.850,0.000,0.400,28.600,28.600,low,1.000,Rice taxation,tribute,material,Internal revolt,internal,Male administrators,0,0.941,1
Mauryan Empire,South Asia,,-322,0.800,0.850,0.150,0.850,,,none,0.000,,land/debt/coercion,material,,other,,0,0.941,3
Mayan Ajaw System,Mesoamerica,Classical,250,0.700,0.600,0.250,0.600,17.200,17.200,medium,2.000,Cacao trade,ritual/tribute,material,Drought,environmental,Male rulers,0,1.083,2
Meiji Oligarchy,Japan,Modern,1868,0.750,0.850,0.150,0.750,35.700,35.700,none,0.000,Textiles/steel,land/conscription,material,WWII,other,Male genrō,0,1.000,2
Merina Andriana Castes,Madagascar,Early Modern,1700,0.400,0.300,0.350,0.400,-19.000,19.000,low,1.000,Rice/silk,clan,social,French conquest,conquest,Gender-stratified,0,1.000,1
Metis Buffalo Councils,Canada,Early Modern,1780,0.200,0.400,0.900,0.500,51.000,51.000,medium,2.000,Pemmican trade,none,none/voluntary,Buffalo extinction,other,Gender-mixed,1,0.375,1
Micronesian Yapese Stone Council,Micronesia,,-1000,0.300,0.100,0.650,0.350,,,low,1.000,,prestige/tribute,material,,other,,0,0.500,2
Ming Dynasty,East Asia,Early Modern,1368,0.850,0.950,0.080,0.900,,,,,,,mixed,,other,,0,0.947,3
Ming Yellow Register Census,China,Early Modern,1368,0.850,0.850,0.050,0.900,32.100,32.100,none,0.000,Rice/tax,land/coercion,material,Li Zicheng revolt,internal,Male heads,0,1.000,2
Minoan Crete,Aegean,,-2700,0.500,0.700,0.450,0.700,,,low,1.000,,land/palace,material,,other,,0,0.714,2
Minoan Thalassocracy,Crete,Bronze Age,-2000,0.650,0.500,0.100,0.500,35.300,35.300,low,1.000,Bronze trade,none,none/voluntary,Mycenaean invasion,conquest,Female-dominated,0,0.600,1
Mississippian Chiefdoms,Mississippi Valley,,800,0.650,0.300,0.300,0.500,,,low,1.000,,tribute,material,,other,,0,0.333,2
Moche Ceremonial Brewmasters,Peru,Classical,100,0.400,0.300,0.500,0.400,-8.100,8.100,low,1.000,Maize/peanuts,none,none/voluntary,Climate change,environmental,Gender-mixed,1,1.000,1
Moche Sacrificial Hydraulics,Peru,Classical,100,0.850,0.600,0.000,0.200,-8.100,8.100,low,1.000,Maize/fishing,ritual,ritual,El Niño floods,environmental,Male priests,0,0.500,1
Mogollon Pit-House Democracies,USA,Woodland,-200,0.200,0.400,0.800,0.400,33.000,33.000,low,1.000,Maize/beans,none,none/voluntary,Drought,environmental,Gender-mixed,1,0.750,1
Mohenjo-daro / Indus Valley Civilisation,South Asia,,-2600,0.100,0.400,0.750,0.600,,,unknown,,,unknown,mixed,,other,,0,1.125,2
Mongolian Kurultai,Mongolia,Medieval,1206,0.750,0.450,0.250,0.400,47.900,47.900,high,3.000,Herding,none,none/voluntary,Disintegration,other,Male warriors,0,0.667,1
Moravian Mission Communes,USA,Early Modern,1735,0.650,0.500,0.250,0.400,40.600,40.600,low,1.000,Textiles,none,none/voluntary,,other,Gender-separate,0,0.600,1
Mossi Naam Militias,Burkina Faso,Medieval,1100,0.400,0.300,0.500,0.400,12.400,12.400,low,1.000,Millet/cattle,none,none/voluntary,French conquest,conquest,Male cohorts,0,1.000,1
Mughal Empire Akbar Period,South Asia,Early Modern,1556,0.700,0.800,0.180,0.650,,,,,,,mixed,,other,,0,0.812,2
Mughal Mansabdari System,India,Early Modern,1526,0.700,0.850,0.150,0.500,28.600,28.600,low,1.000,Spice trade,land,material,British Raj,conquest,Male mansabdars,0,0.353,1
Mycenaean Wanax System,Greece,Bronze Age,-1600,0.750,0.450,0.050,0.750,37.700,37.700,low,1.000,Olive oil,military,coercive,Dorian invasion,conquest,Male warriors,0,0.667,1
Māori Iwi River Federations,New Zealand,Medieval,1300,0.800,0.400,0.000,0.400,-40.900,40.900,low,1.000,Kūmara farming,none,none/voluntary,Colonialism,other,Male warriors,0,0.750,1
Māori Umu Tī Earth Oven Parleys,New Zealand,Medieval,1300,0.200,0.400,0.800,0.400,-40.900,40.900,low,1.000,Kūmara farming,none,none/voluntary,British colonization,conquest,Male speakers,0,0.375,1
Nabatean Water Merchants,Jordan,Classical,-400,0.500,0.450,0.200,0.500,30.300,30.300,low,1.000,Incense trade,none,none/voluntary,Roman annexation,other,Gender-mixed,1,1.333,1
Nan Madol Coral Kingdoms,Micronesia,Medieval,1000,0.650,0.500,0.100,0.400,6.800,6.800,low,1.000,Breadfruit/reef fish,land,material,Invasion,conquest,Male priests,0,0.300,1
Napoleonic Meritocracy,France,Modern,1799,0.900,0.900,0.050,0.800,48.900,48.900,none,0.000,War plunder,conscription/law,coercive,Coalition armies,other,Male elites,0,0.889,2
Natufian Communities,Levant,,-12500,0.150,0.050,0.900,0.100,,,high,3.000,,none,none/voluntary,,other,,0,1.000,2
Natufian Grain Storage Pacts,Levant,Mesolithic,-15000,0.250,0.200,0.750,0.100,32.500,32.500,low,1.000,Foraging,none,none/voluntary,Climate change,environmental,Gender-mixed,1,1.750,1
Nazi Germany,Europe,Modern,1933,0.950,0.900,0.030,0.850,,,,,,,mixed,,other,,0,1.000,3
Neanderthal Megafauna Councils,Eurasia,Paleolithic,-300000,0.100,0.050,0.800,0.150,45.000,45.000,low,1.000,Megafauna hunting,none,none/voluntary,H. sapiens expansion,other,Male-dominated,0,7.000,1
Nenets Yamal Clan Councils,Russia,Medieval,1000,0.200,0.400,0.900,0.400,67.500,67.500,high,3.000,Reindeer fur,none,none/voluntary,Russian annexation,conquest,Male herders,0,0.750,1
Nok Terracotta Chiefdoms,Nigeria,Iron Age,-1000,0.500,0.450,0.350,0.400,9.500,9.500,low,1.000,Yam/iron,ritual,ritual,Climate change,environmental,Gender-balanced,1,1.333,1
Nordic Sami Parliaments,Scandinavia,Modern,1989,0.400,0.300,0.600,0.400,68.300,68.300,low,1.000,Reindeer herding,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,1.000,1
Norman Feudal Domesday,England,Medieval,1086,0.750,0.800,0.150,0.800,51.500,51.500,none,0.000,Wool tax,land,material,Anarchy,other,Male barons,0,0.938,2
Norse Thing System,Scandinavia,,800,0.300,0.150,0.750,0.300,,,medium,2.000,,honour/law,social,,other,,0,0.667,2
Norwegian Sovereign Wealth Democracy,Norway,Modern,1990,0.150,0.750,0.900,0.750,60.500,60.500,none,0.000,Oil/Gas,none,none/voluntary,None (ongoing),ongoing,Gender-neutral,1,1.200,2
Novgorod Veche Republic,Russia,Medieval,1136,0.200,0.400,0.900,0.400,58.500,58.500,low,1.000,Fur/beeswax,none,none/voluntary,Muscovite conquest,conquest,Male landowners,0,0.750,1
Nri Kingdom Pacifist Theocracy,Nigeria,Medieval,948,0.650,0.500,0.250,0.400,6.200,6.200,low,1.000,Yam farming,ritual,ritual,British invasion,conquest,Male priests,0,1.200,1
Nubian Qustul Sacral Kingship,Sudan,Predynastic,-3500,0.650,0.500,0.250,0.400,22.500,22.500,low,1.000,Cattle/ivory,none,none/voluntary,Egyptian conquest,conquest,Unknown,0,0.300,1
Ochlokratia,Greek,,-430,0.200,0.200,0.700,0.450,,,none,0.000,,performance,mixed,,other,,0,1.500,2
Olmec,Gulf Coast Mexico,,-1500,0.600,0.200,0.350,0.500,,,low,1.000,,ritual/tribute,material,,other,,0,0.500,2
Olmec Were-Jaguar Cult,Mesoamerica,Bronze Age,-1200,0.650,0.500,0.250,0.400,18.400,18.400,low,1.000,Maize farming,none,none/voluntary,Environmental collapse,environmental,Male priests,0,0.600,1
Orkney Jarl Sea-Kingdoms,Scotland,Medieval,800,0.750,0.450,0.300,0.200,59.000,59.000,low,1.000,Fishing/whaling,none,none/voluntary,Scottish annexation,other,Male landowners,0,0.667,1
Ottoman Empire,Anatolia/Middle East,,1299,0.800,0.800,0.200,0.800,,,none,0.000,,law/religion,ritual,,other,,0,1.000,3
Ottoman Millet System,Turkey,Early Modern,1453,0.750,0.800,0.200,0.800,41.000,41.000,none,0.000,Silk/tax farming,law/religion,ritual,Nationalism,other,Male sultans,0,1.000,2
Pacific Potlatch,Northwest Coast Pacific,,-1000,0.300,0.100,0.750,0.350,,,high,3.000,,honour/clan,social,,other,,0,0.500,3
Pagan Temple-State,Myanmar,Medieval,849,0.650,0.500,0.100,0.500,21.200,21.200,low,1.000,Rice trade,none,none/voluntary,Mongol invasion,conquest,Male monks,0,1.200,1
Palauan Stone Money Yap,Palau,Modern,1800,0.400,0.300,0.500,0.200,7.500,7.500,low,1.000,Fishing/pearls,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,1.000,1
Pallava Guild Republics,India,Classical,275,0.500,0.450,0.450,0.400,12.500,12.500,low,1.000,Textiles/perfume,none,none/voluntary,Chola conquest,conquest,Gender-mixed,1,0.667,1
Pampas Querandí Nomadism,Argentina,Early Modern,1500,0.100,0.050,1.000,0.400,-36.000,36.000,medium,2.000,Guanaco herds,none,none/voluntary,European horses,other,Gender-balanced,1,6.000,1
Paris Commune,France,Modern,1871,0.150,0.300,0.850,0.450,48.900,48.900,none,0.000,Manufacturing,none,none/voluntary,German invasion,conquest,Gender-mixed,1,1.167,2
Pavee Road Councils,Ireland/UK,Modern,1900,0.400,0.300,0.600,0.400,53.000,53.000,low,1.000,Roadwork,none,none/voluntary,None (ongoing),ongoing,Male-dominated,0,1.000,1
Persian Satrapy System,Iran,Iron Age,-550,0.750,0.800,0.200,0.850,32.400,32.400,none,0.000,Royal Road taxes,tribute,material,Alexander's conquest,conquest,Male nobles,0,0.938,2
Phoenician Merchant Oligarchies,Levant,Iron Age,-1000,0.400,0.600,0.550,0.700,33.900,33.900,low,1.000,Cedar/purple dye,trade,mixed,Alexander's conquest,conquest,Male merchants,0,1.083,2
Phrygian Matar Cult,Turkey,Iron Age,-800,0.650,0.500,0.250,0.400,39.000,39.000,low,1.000,Textiles/Oracles,none,none/voluntary,Lydian conquest,conquest,Female-dominated,0,0.600,1
Pictish Matrilineal Kings,Scotland,Early Medieval,300,0.750,0.450,0.050,0.400,57.500,57.500,low,1.000,Cattle/stone,none,none/voluntary,Gaelic assimilation,other,Gender-balanced,1,0.667,1
Pirate Articles,Atlantic/Caribbean,Early Modern,1650,0.200,0.400,0.900,0.400,25.000,25.000,low,1.000,Plunder,none,none/voluntary,Naval suppression,other,Male crews,0,0.750,1
Polish-Lithuanian Elective Monarchy,Poland,Early Modern,1569,0.200,0.400,0.800,0.700,52.200,52.200,low,1.000,Grain exports,none,none/voluntary,Partitions,other,Male nobles,0,0.750,1
Politeia,Greek,,-700,0.400,0.350,0.550,0.500,,,low,1.000,,law,mixed,,other,,0,0.857,2
Pomeranian Veleti Tribal Republic,Germany/Poland,Medieval,900,0.200,0.400,0.900,0.400,54.000,54.000,low,1.000,Amber/fish,clan,social,German crusades,other,Gender-mixed,1,0.750,1
Post-Apartheid Ubuntu Democracy,South Africa,Modern,1994,0.300,0.150,0.800,0.600,-29.000,29.000,low,1.000,Mining/tech,none,none/voluntary,None (ongoing),ongoing,Gender-balanced,1,2.000,1
Poverty Point Earthwork League,USA,Archaic,-1700,0.350,0.200,0.750,0.400,32.600,32.600,low,1.000,Stone tools,none,none/voluntary,Climate shift,environmental,Gender-balanced,1,1.500,1
Powhatan Paramount Chiefdom,USA,Early Modern,1570,0.550,0.250,0.400,0.400,37.500,37.500,low,1.000,Corn/tobacco,none,none/voluntary,English conquest,conquest,Matrilineal,0,1.200,1
Pre-Pottery Neolithic A (PPNA),Levant/Anatolia,,-9500,0.200,0.100,0.800,0.250,,,medium,2.000,,land,material,,other,,0,0.500,2
Pre-Pottery Neolithic B (PPNB),Levant/Anatolia,,-8700,0.300,0.200,0.700,0.350,,,low,1.000,,land/ancestor,material,,other,,0,0.500,2
Proto-Norse Thing Assemblies,Scandinavia,Iron Age,-500,0.200,0.400,0.900,0.400,60.000,60.000,low,1.000,Iron/amber,none,none/voluntary,Christianization,other,Male landowners,0,0.750,1
Pueblo Council Governance,American Southwest,,-500,0.200,0.200,0.800,0.400,,,high,3.000,,community,social,,other,,0,0.500,2
Pueblo Kiva Councils,USA,Medieval,1100,0.200,0.400,0.900,0.400,35.000,35.000,low,1.000,Maize/beans,none,none/voluntary,Drought,environmental,Gender-segregated,0,0.375,1
Qi Jixia Academy,China,Warring States,-350,0.400,0.300,0.500,0.400,36.800,36.800,low,1.000,Millet/silk,none,none/voluntary,Qin conquest,conquest,Male scholars,0,2.000,1
Qin Legalism,China,Iron Age,-221,0.950,0.900,0.000,0.900,34.200,34.200,none,0.000,Millet farming,coercion/land,material,Peasant revolts,internal,Male bureaucrats,0,0.889,2
Qing Dynasty Banner System,China,Early Modern,1644,0.800,0.850,0.100,0.850,39.900,39.900,none,0.000,Rice/silk,land/status,material,Republicanism,other,Male bannermen,0,1.000,2
Qing Lifan Yuan Tributaries,China,Early Modern,1636,0.800,0.700,0.150,0.400,39.900,39.900,low,1.000,Horse/tribute,tribute,material,Nationalism,other,Male banners,0,0.429,1
Ragusan Aristocratic Republic,Croatia,Early Modern,1358,0.500,0.450,0.350,0.500,42.600,42.600,low,1.000,Salt trade,coercion,coercive,Napoleon,other,Male nobles,0,0.667,1
Rapa Iti Tūtae Councils,French Polynesia,Medieval,1200,0.400,0.300,0.500,0.200,-27.600,27.600,low,1.000,Fishing,land,material,French conquest,conquest,Gender-balanced,1,1.000,1
Rapa Nui Birdman Cult,Easter Island,Medieval,1200,0.400,0.300,0.500,0.400,-27.100,27.100,low,1.000,Sweet potatoes,ritual,ritual,Slave raids,other,Male competitors,0,1.000,1
Rapa Nui Tangata Manu Trials,Chile,Medieval,1200,0.400,0.300,0.500,0.400,-27.100,27.100,low,1.000,Sweet potatoes,ritual,ritual,Slave raids,other,Male competitors,0,1.000,1
Rhenish City Leagues,Germany,Medieval,1250,0.350,0.200,0.650,0.500,50.100,50.100,low,1.000,Wine trade,none,none/voluntary,Habsburg centralization,other,Male merchants,0,1.500,1
Rhenish Hanseatic Cities,Germany,Medieval,1356,0.350,0.550,0.600,0.650,51.200,51.200,none,0.000,Textiles,trade,mixed,Thirty Years' War,conquest,Male merchants,0,1.091,2
Rhodes Naval Oligarchy,Greece,Classical,-408,0.400,0.550,0.600,0.500,36.400,36.400,low,1.000,Grain trade,none,none/voluntary,Roman annexation,other,Male shipowners,0,0.545,1
Rojava Democratic Confederalism,Syria,Modern,2014,0.250,0.200,0.850,0.750,36.900,36.900,low,1.000,Olive oil,none,none/voluntary,Turkish invasion,conquest,Female co-leaders,0,1.500,1
Roman Collegia Guild Republics,Italy,Classical,-500,0.200,0.400,0.900,0.400,41.900,41.900,low,1.000,Craftsmanship,none,none/voluntary,Christian bans,other,Gender-separate,0,0.750,1
Roman Republic,Italy,Iron Age,-509,0.450,0.650,0.500,0.700,41.900,41.900,none,0.000,Slave plantations,land/patron,material,Imperialism,other,Male patricians,0,1.000,3
Romani Kris Councils,Europe,Medieval-Modern,1100,0.350,0.100,0.700,0.500,45.000,45.000,high,3.000,Crafts/trade,none,none/voluntary,Persecution,other,Gender-separate,0,1.500,1
Romanichal Wagon Republics,UK,Early Modern,1600,0.200,0.400,0.900,0.400,53.000,53.000,low,1.000,Smithing/horses,none,none/voluntary,Sedentarization,other,Gender-mixed,1,0.750,1
Ruthenian Viche,Ukraine/Belarus,Medieval,1000,0.200,0.400,0.900,0.400,50.500,50.500,low,1.000,Forest products,none,none/voluntary,Lithuanian conquest,conquest,Male warriors,0,0.750,1
Rwandan Unity Government,Rwanda,Modern,1994,0.400,0.300,0.500,0.550,-1.900,1.900,low,1.000,Agriculture/Tech,none,none/voluntary,None (ongoing),ongoing,Female-majority,0,1.000,1
Ryukyu Gusuku Trade Kingdom,Japan,Early Modern,1429,0.400,0.300,0.350,0.400,26.200,26.200,low,1.000,Sulfur/tribute,tribute,material,Japanese annexation,conquest,Male nobles,0,1.000,1
Ryukyu Maritime Tributary,Japan,Early Modern,1429,0.400,0.300,0.350,0.400,26.000,26.000,low,1.000,Sulfur/tribute,land,material,Japanese annexation,conquest,Male nobles,0,1.000,1
Sabaean Dam Council,Yemen,Classical,-800,0.650,0.500,0.100,0.400,15.400,15.400,low,1.000,Frankincense,none,none/voluntary,Himyarite conquest,conquest,Male priests,0,1.200,1
Saho-Irob Mountain Democracies,Eritrea,Medieval,1000,0.200,0.400,0.900,0.400,15.200,15.200,medium,2.000,Apiculture,land,material,Ethiopian annexation,other,Gender-balanced,1,0.750,1
Sami Noaide Shamanic Bands,Scandinavia,Medieval,1000,0.400,0.300,0.500,0.400,68.300,68.300,low,1.000,Reindeer herding,clan,social,Christianization,other,Gender-balanced,1,0.500,1
Sami Reindeer Herding Units,Scandinavia,Early Modern,1500,0.350,0.100,0.800,0.400,68.300,68.300,high,3.000,Reindeer,land,material,None (ongoing),ongoing,Gender-balanced,1,1.500,1
Samoan Matai Talking Chiefs,Samoa,Medieval,1000,0.200,0.400,0.900,0.400,-13.800,13.800,low,1.000,Breadfruit,none,none/voluntary,None (ongoing),ongoing,Gender-mixed,1,0.750,1
San Xaro Networks,Southern Africa (Kalahari),Paleolithic,-10000,0.050,0.050,0.950,0.100,-23.000,23.000,high,3.000,Foraging,none,none/voluntary,Colonialism,other,Egalitarian,1,1.000,3
Sao Clay Wall Cities,Chad,Medieval,500,0.400,0.300,0.500,0.400,13.000,13.000,low,1.000,Millet/fish,none,none/voluntary,Kanem conquest,conquest,Gender-balanced,1,1.000,1
Sarmatian Female Warbands,Russia/Kazakhstan,Iron Age,-300,0.400,0.300,0.500,0.400,47.000,47.000,low,1.000,Mare's milk,clan,social,Gothic invasion,conquest,Female warriors,0,1.000,1
